state,x,y
Alabama,224,-147
Alaska,-439,-266
Arizona,-335,-72
Arkansas,95,-79
California,-461,-19
Colorado,-185,34
Connecticut,539,110
Delaware,491,58
Florida,360,-266
Georgia,305,-150
Hawaii,-240,-335
Idaho,-339,180
Illinois,148,58
Indiana,214,62
Iowa,59,110
Kansas,-36,14
Kentucky,240,-20
Louisiana,112,-211
Maine,522,264
Maryland,500,37
Massachusetts,551,181
Michigan,290,220
Minnesota,38,259
Mississippi,155,-173
Missouri,91,-7
Montana,-238,257
Nebraska,-65,96
Nevada,-417,94
New Hampshire,422,278
New Jersey,514,84
New Mexico,-210,-94
New York,408,153
North Carolina,371,-42
North Dakota,-71,266
Ohio,282,80
Oklahoma,-14,-73
Oregon,-464,221
Pennsylvania,375,109
Rhode Island,563,148
South Carolina,349,-84
South Dakota,-73,177
Tennessee,212,-60
Texas,-56,-174
Utah,-312,54
Vermont,398,251
Virginia,386,14
Washington,-434,308
West Virginia,324,33
Wisconsin,119,193
Wyoming,-214,147